name,state,agency,security_level,gender,detail_url,facility_type,phone,street_address,city,zip_code,latitude,longitude
Branchville Correctional Facility,Indiana,Indiana Department of Correction (IDOC),Medium,Male,https://www.in.gov/idoc/facilities/adult/branchville-correctional-facility,Correctional Facility,(812) 843-5921,21390 Old State Road 37,Branchville,47514,38.1524102,-86.60156529999999
Chain O'Lakes Correctional Facility,Indiana,Indiana Department of Correction (IDOC),Re-Entry,Male,https://www.in.gov/idoc/facilities/adult/chain-olakes-correctional-facility,Correctional Facility,(260) 636-3114,,,,,
Correction Industrial Facility,Indiana,Indiana Department of Correction (IDOC),Medium & Maximum,Male,https://www.in.gov/idoc/facilities/adult/correctional-industrial-facility,Industrial Facility,(765) 778-8011,5124 W. Reformatory Road,Pendleton,46064,39.9755415,-85.7724315
Edinburgh Correctional Facility,Indiana,Indiana Department of Correction (IDOC),Minimum,Male,https://www.in.gov/idoc/facilities/adult/edinburgh-correctional-facility,Correctional Facility,(812) 526-8434,,,,,
Heritage Trail Correctional Facility,Indiana,Indiana Department of Correction (IDOC),Minimum,Male,https://www.in.gov/idoc/facilities/adult/heritage-trail-correctional-facility,Correctional Facility,(317) 839-7751,501 W. Main Street,Plainfield,,39.69310919999999,-86.4073403
Indiana State Prison,Indiana,Indiana Department of Correction (IDOC),Maximum,Male,https://www.in.gov/idoc/facilities/adult/indiana-state-prison,State Prison,(219) 874-7256,Indiana State Prison 1 Park Row,Michigan City,46360,41.7034274,-86.915343
Miami Correctional Facility,Indiana,Indiana Department of Correction (IDOC),"Minimum, Medium & Maximum",Male,https://www.in.gov/idoc/facilities/adult/miami-correctional-facility,Correctional Facility,(765) 689-8920,850 South,Bunker Hill,46914-9810,40.6428493,-86.1462705
New Castle Correctional Facility,Indiana,Indiana Department of Correction (IDOC),"Minimum, Medium & Maximum",Male,https://www.in.gov/idoc/facilities/adult/new-castle-correctional-facility,Correctional Facility,(765) 593-0111,1000 Van Nuys Road,P.O. Box E,,39.960573,-85.3736849
Pendleton Correctional Facility,Indiana,Indiana Department of Correction (IDOC),"Minimum, Medium & Maximum",Male,https://www.in.gov/idoc/facilities/adult/pendleton-correctional-facility,Correctional Facility,(765) 778-2107,4490 W. Reformatory Rd.,Pendleton,46064-9001,39.9827609,-85.7596152
Plainfield Correctional Facility,Indiana,Indiana Department of Correction (IDOC),Medium,Male,https://www.in.gov/idoc/facilities/adult/plainfield-correctional-facility,Correctional Facility,(317) 839-2513,727 Moon Road,Plainfield,46168,39.6911066,-86.4167011
Putnamville Correctional Facility,Indiana,Indiana Department of Correction (IDOC),Medium,Male,https://www.in.gov/idoc/facilities/adult/putnamville-correctional-facility,Correctional Facility,(765) 653-8441,1946 West U.S. Hwy 40,Greencastle,46135,39.7820524,-85.8366307
Reception Diagnostic Center,Indiana,Indiana Department of Correction (IDOC),Maximum,Male,https://www.in.gov/idoc/facilities/adult/reception-diagnostic-center,Reception Diagnostic Center,(317) 839-7727,Reception Diagnostic Center 737 Moon Road,Plainfield,46168,39.68937529999999,-86.4163094
South Bend Community Reentry Center,Indiana,Indiana Department of Correction (IDOC),Re-Entry,Male,https://www.in.gov/idoc/facilities/adult/south-bend-community-re-entry-center,Re-Entry Center,(574) 234-4094,"South Bend Community Re-entry Cente,4650 Old Cleveland Road",South Bend IN,,41.7221752,-86.3111223
Wabash Valley Correctional Facility,Indiana,Indiana Department of Correction (IDOC),Minimum & Maximum,Male,https://www.in.gov/idoc/facilities/adult/wabash-valley-correctional-facility,Correctional Facility,(812) 398-5050,,,,,
Westville Correctional Facility,Indiana,Indiana Department of Correction (IDOC),Minimum & Medium,Male,https://www.in.gov/idoc/facilities/adult/westville-correctional-facility,Correctional Facility,(219) 785-2511,,,,,
Indiana Women's Prison,Indiana,Indiana Department of Correction (IDOC),Medium & Maximum,Female,https://www.in.gov/idoc/facilities/adult/indiana-womens-prison,Women's Prison,(317) 244-3387,,,,,
Madison Correctional Facility,Indiana,Indiana Department of Correction (IDOC),Minimum & Medium,Female,https://www.in.gov/idoc/facilities/adult/madison-correctional-facility,Correctional Facility,(812) 265-6154,800 MSH Bus Stop Drive,Madison,47250,38.74675999999999,-85.4045818
Rockville Correctional Facility,Indiana,Indiana Department of Correction (IDOC),Maximum,Female,https://www.in.gov/idoc/facilities/adult/rockville-correctional-facility,Correctional Facility,(765) 569-3178,811 W. 50 N.,Rockville,47872,39.7758439,-87.25384009999999
